gnome-todo 3.26.2-1
gnome-tweak-tool 3.26.3-1
gnome-user-docs 3.26.2-1
gnome-user-share 3.18.3+2+g7b451ae-1
gnome-weather 3.26.0-1
gnu-netcat 0.7.1-6
gnupg 2.2.2-1
gnutls 3.5.16-1
gobject-introspection-runtime 1.54.1-1
gom 0.3.3-1
goocanvas 2.0.2-1
google-chrome 62.0.3202.94-1
gparted 0.30.0-3
gpgme 1.9.0-3
gpm 1.20.7-8
gptfdisk 1.0.3-1
graphene 1.6.0-1
graphite 1:1.3.10-1
graphviz 2.40.1-9
grep 3.1-1
grilo 0.3.4-1
grilo-plugins 0.3.5-1
groff 1.22.3-7
grub 2:2.02-3
grub-customizer 5.0.6-5
gscreenshot 2.9.3-1
gsettings-desktop-schemas 3.24.1+3+ge869987-1
gsfonts 20170829-1
gsm 1.0.17-1
gsound 1.0.2-2
gspell 1.6.1-1
gssdp 1.0.2-1
gst-libav 1.12.3+1+ge87c20d-1
gst-plugins-bad 1.12.3-1
gst-plugins-base 1.12.3-1
gst-plugins-base-libs 1.12.3-1
gst-plugins-good 1.12.3-1
gstreamer 1.12.3-1
gtk-doc 1.26+23+g8ad03e1-1
gtk-engine-murrine 0.98.2-2
gtk-engines 2.21.0-3
gtk-update-icon-cache 3.22.26-1
gtk-vnc 0.7.1-1
gtk-xfce-engine 2.10.1-1
gtk2 2.24.31-1
gtk3 3.22.26-1
gtk3-print-backends 3.22.26-1
gtkmm 2.24.5-2
gtkmm3 3.22.2+2+g3002ed86-1
gtksourceview2 2.10.5-3
gtksourceview3 3.24.4+11+g190037e9-1
gtkspell 2.0.16-5
gtkspell3 3.0.9-1
gts 0.7.6-3
gucharmap 10.0.3-1
guile 2.2.2-1
guile2.0 2.0.14-1
gupnp 1.0.2-1
gupnp-av 0.12.10-1
gupnp-dlna 0.10.5-2
gvfs 1.34.1-1
gvfs-afc 1.34.1-1
gvfs-goa 1.34.1-1
gvfs-google 1.34.1-1
gvfs-gphoto2 1.34.1-1
gvfs-mtp 1.34.1-1
gvfs-nfs 1.34.1-1
gvfs-smb 1.34.1-1
gvim 8.0.1297-1
gwenview 17.08.3-1
gzip 1.8-2
harfbuzz 1.6.3-1
harfbuzz-icu 1.6.3-1
hexchat 2.12.4-6
hicolor-icon-theme 0.17-1
hitori 3.22.4-1
hspell 1.3-1
http-parser 2.7.1-1
hunspell 1.6.2-1
hunspell-en 2017.01.22-2
hunspell-en_GB 2017.01.22-2
hunspell-en_US 2017.01.22-2
hwids 20170715-1
hyphen 2.8.8-1
i3-gaps 4.14.1-1
i3status 2.11-3
iagno 3.26.1-1
iana-etc 20170824-1
icu 59.1-2
idnkit 1.0-3
